Host,EmptyDomicile,Fluff,Pupae.1,Pupae.8,Success,HB.Host,HBDensity
Aitken1,1,0,0,0,0,1,1.057
Aitken2,1,0,0,0,0,1,1.057
Baker1,1,0,0,0,0,1,0.337
Baker2,1,1,0,0,1,1,0.337
BaRypien1,1,0,0,0,0,1,1.089
BaRypien2,1,1,0,0,1,1,1.089
Bedome1,1,1,1,0,2,1,1.147
Bedome2,1,1,1,1,4,1,1.147
Bergen1,1,0,0,0,0,0,1.036
Bergen2,1,1,1,1,4,0,1.036
Blum1,1,0,0,0,0,1,1.071
Blum2,1,0,0,0,0,1,1.071
BoRypien1,1,0,0,0,0,1,1.134
BoRypien2,1,0,0,0,0,1,1.134
Boucher1,1,0,0,0,0,1,1.262
Boucher2,1,0,0,0,0,1,1.262
Breganzzi1,1,0,0,0,0,0,0.866
Breganzzi2,1,1,1,1,3,0,0.866
Brickburn1,1,0,0,0,0,0,1.158
Brickburn2,1,0,0,0,0,0,1.158
Buckland1,1,1,1,1,5,1,0.365
Buckland2,1,0,0,0,0,1,0.365
BUlmer1,1,0,0,0,0,1,0.120
BUlmer2,1,0,0,0,0,1,0.120
Buzath1,1,0,0,0,0,0,1.150
Buzath2,1,0,0,0,0,0,1.150
Cianci1,1,0,0,0,0,1,0.794
Cianci2,1,1,1,1,4,1,0.795
Clapp1,1,0,0,0,0,1,0.195
Clapp2,1,0,0,0,0,1,0.195
Cooper1,1,1,0,0,1,1,0.350
Cooper2,1,1,1,0,2,1,0.350
Dale1,1,0,0,0,0,1,0.242
Dale2,1,0,0,0,0,1,0.242
Davidson1,1,0,0,0,0,1,1.041
Davidson2,1,0,0,0,0,1,1.041
Dold1,1,1,0,0,1,0,0.554
Dold2,1,1,0,0,1,0,0.554
Dyer1,1,0,0,0,0,1,1.249
Dyer2,1,1,1,1,3,1,1.249
Dylong1,1,0,0,0,0,1,0.939
Dylong2,1,0,0,0,0,1,0.939
Elbel1,1,1,1,1,3,1,0.964
Elbel2,1,0,0,0,0,1,0.964
Engelen1,1,0,0,0,0,1,0.429
Engelen2,1,0,0,0,0,1,0.429
Evans1,1,0,0,0,0,1,0.958
Evans2,1,0,0,0,0,1,0.958
Fisher1,1,0,0,0,0,1,1.504
Fisher2,1,0,0,0,0,1,1.504
Fjstad 1,1,1,1,1,3,0,0.501
Fjstad 2,1,0,0,0,0,0,0.501
Fletcher 1,1,1,1,1,5,0,0.224
Fletcher 2,1,1,1,1,4,0,0.224
Gault1,1,0,0,0,0,0,0.882
Gault2,1,0,0,0,0,0,0.882
Gobeil1,1,0,0,0,0,1,0.929
Gobeil2,1,0,0,0,0,1,0.929
Goldie1,1,0,0,0,0,1,0.772
Goldie2,1,0,0,0,0,1,0.772
Grace1,1,0,0,0,0,1,0.924
Grace2,1,0,0,0,0,1,0.924
Graham1,1,0,0,0,0,0,0.434
Graham2,1,0,0,0,0,0,0.434
Grant1,1,0,0,0,0,0,0.885
Grant2,1,0,0,0,0,0,0.885
Grisaru1,1,0,0,0,0,0,0.486
Groeneveld1,1,0,0,0,0,1,1.392
Groeneveld2,1,0,0,0,0,1,1.392
Hagstrom1,1,0,0,0,0,1,0.971
Hagstrom2,1,0,0,0,0,1,0.971
Hanson1,1,0,0,0,0,0,1.154
Hanson2,1,0,0,0,0,0,1.154
Holowatuk1,1,0,0,0,0,0,0.857
Holowatuk2,1,1,1,1,4,0,0.857
Hosty1,1,0,0,0,0,0,0.451
Hosty2,1,0,0,0,0,0,0.451
Hustak1,1,0,0,0,0,0,0.515
Hustak2,1,0,0,0,0,0,0.515
Kristine1,1,0,0,0,0,1,0.479
Kristine2,1,1,1,1,4,1,0.479
Litchfield1,1,0,0,0,0,1,0.304
Litchfield2,1,1,1,1,4,1,0.304
MacKinnon1,1,1,0,0,1,0,0.570
MacKinnon2,1,1,1,1,3,0,0.570
Martin1,1,1,1,0,2,0,0.441
Martin2,1,1,1,1,4,0,0.441
Mavin1,1,0,0,0,0,1,0.334
Mavin2,1,0,0,0,0,1,0.334
McIntyre1,1,1,1,1,3,1,0.589
McIntyre2,1,1,1,1,4,1,0.589
Metcalfe1,1,0,0,0,0,1,1.105
Metcalfe2,1,1,1,0,2,1,1.105
Micucci1,1,0,0,0,0,1,0.863
Micucci2,1,0,0,0,0,1,0.863
Montgomery1,1,0,0,0,0,1,1.007
Montgomery2,1,1,1,1,4,1,1.007
Mullin1,1,0,0,0,0,0,1.015
Mullin2,1,0,0,0,0,0,1.015
Mullin-inLaw1,1,0,0,0,0,0,0.458
Mullin-inLaw2,1,0,0,0,0,0,0.458
Parzen1,1,1,1,1,3,0,0.777
Parzen2,1,1,1,1,3,0,0.777
Paskevich1,1,0,0,0,0,0,0.318
Paskevich2,1,1,1,1,3,0,0.318
Patipatanakoon1,1,0,0,0,0,1,1.226
Patipatanakoon12,1,1,0,0,1,1,1.226
Peatch1,1,0,0,0,0,0,0.215
Peatch2,1,1,0,0,1,0,0.215
Piniak1,1,1,1,1,5,1,0.752
Piniak2,1,0,0,0,0,1,0.752
Puerzer1,1,0,0,0,0,0,0.177
Puerzer2,1,0,0,0,0,0,0.177
Ramsing1,1,0,0,0,0,1,1.248
Ramsing2,1,0,0,0,0,1,1.248
Rayment1,1,0,0,0,0,1,0.836
Rayment2,1,0,0,0,0,1,0.836
Reed1,1,0,0,0,0,0,0.360
Scase1,1,1,1,1,3,0,0.311
Scase2,1,1,1,1,4,0,0.311
Smit1,1,0,0,0,0,1,0.135
Smit2,1,0,0,0,0,1,0.135
Soehner1,1,0,0,0,0,1,0.493
Soehner2,1,1,1,1,5,1,0.493
Stainsby1,1,0,0,0,0,1,1.055
Stainsby2,1,0,0,0,0,1,1.055
Suter1,1,0,0,0,0,1,1.143
Suter2,1,1,0,0,1,1,1.143
Sutherland1,1,0,0,0,0,0,0.607
Sutherland2,1,0,0,0,0,0,0.607
Tetzlaff1,1,0,0,0,0,1,1.335
Tetzlaff2,1,0,0,0,0,1,1.335
Uribe1,1,0,0,0,0,1,0.951
Uribe2,1,1,0,0,1,1,0.951
VanDenBoogaard1,1,0,0,0,0,1,0.431
VanDenBoogaard2,1,0,0,0,0,1,0.431
Walker1,1,0,0,0,0,1,0.511
Walker2,1,0,0,0,0,1,0.511
White1,1,0,0,0,0,1,1.249
White2,1,1,1,1,4,1,1.249
Wright1,1,0,0,0,0,0,0.246
Wright2,1,0,0,0,0,0,0.246
Yanover1,1,1,1,1,4,0,0.548
